A股代码,B股代码,证券简称,扩位证券简称,上市日期
600000,-,浦发银行,浦发银行,19991110
600004,-,白云机场,白云机场,20030428
600006,-,东风汽车,东风汽车,19990727
600007,-,中国国贸,中国国贸,19990312
600008,-,首创环保,首创环保,20000427
600009,-,上海机场,上海机场,19980218
600010,-,包钢股份,包钢股份,20010309
600011,-,华能国际,华能国际,20011206
600012,-,皖通高速,皖通高速,20030107
600015,-,华夏银行,华夏银行,20030912
600016,-,民生银行,民生银行,20001219
600017,-,日照港,日照港,20061017
600018,-,上港集团,上港集团,20000719
600019,-,宝钢股份,宝钢股份,20001212
600020,-,中原高速,中原高速,20030808
600021,-,上海电力,上海电力,20031029
600022,-,山东钢铁,山东钢铁,20040629
600023,-,浙能电力,浙能电力,20131219
600025,-,华能水电,华能水电,20171215
600026,-,中远海能,中远海能,20020523
600027,-,华电国际,华电国际,20050203
600028,-,中国石化,中国石化,20010808
600029,-,南方航空,南方航空,20030725
600030,-,中信证券,中信证券,20030106
600031,-,三一重工,三一重工,20030703
600032,-,浙江新能,浙江新能,20210525
600033,-,福建高速,福建高速,20010209
600035,-,楚天高速,楚天高速,20040310
600036,-,招商银行,招商银行,20020409
600037,-,歌华有线,歌华有线,20010208
600038,-,中直股份,中直股份,20001218
600039,-,四川路桥,四川路桥,20030325
600048,-,保利发展,保利发展,20060731
600050,-,中国联通,中国联通,20021009
600051,-,宁波联合,宁波联合,19970410
600052,-,东望时代,东望时代,19970415
600053,-,九鼎投资,九鼎投资,19970418
600054,900942,黄山旅游,黄山旅游,19970506
600055,-,万东医疗,万东医疗,19970519
600056,-,中国医药,中国医药,19970515
600057,-,厦门象屿,厦门象屿,19970604
600058,-,五矿发展,五矿发展,19970528
600059,-,古越龙山,古越龙山,19970516
600060,-,海信视像,海信视像,19970422
600061,-,国投资本,国投资本,19970519
600062,-,华润双鹤,华润双鹤,19970522
600063,-,皖维高新,皖维高新,19970528
600064,-,南京高科,南京高科,19970506
600066,-,宇通客车,宇通客车,19970508
600067,-,冠城大通,冠城大通,19970508
600070,-,浙江富润,浙江富润,19970604
600071,-,凤凰光学,凤凰光学,19970528
600072,-,中船科技,中船科技,19970603
600073,-,上海梅林,上海梅林,19970704
600075,-,新疆天业,新疆天业,19970617
600076,-,康欣新材,康欣新材,19970526
600077,-,宋都股份,宋都股份,19970520
600078,-,*ST澄星,*ST澄星,19970627
600079,-,人福医药,人福医药,19970606
600080,-,金花股份,金花股份,19970612
600081,-,东风科技,东风科技,19970703
600082,-,海泰发展,海泰发展,19970620
600083,-,*ST博信,*ST博信,19970606
600084,-,中葡股份,中葡股份,19970711
600085,-,同仁堂,同仁堂,19970625
600088,-,中视传媒,中视传媒,19970616
600089,-,特变电工,特变电工,19970618
600094,900940,大名城,大名城,19970703
600095,-,湘财股份,湘财股份,19970708
600096,-,云天化,云天化,19970709
600097,-,开创国际,开创国际,19970619
600098,-,广州发展,广州发展,19970718
600099,-,林海股份,林海股份,19970704
600100,-,同方股份,同方股份,19970627
600101,-,明星电力,明星电力,19970627
600103,-,青山纸业,青山纸业,19970703
600104,-,上汽集团,上汽集团,19971125
600105,-,永鼎股份,永鼎股份,19970929
600106,-,重庆路桥,重庆路桥,19970618
600107,-,美尔雅,美尔雅,19971106
600108,-,亚盛集团,亚盛集团,19970818
600109,-,国金证券,国金证券,19970807
600110,-,诺德股份,诺德股份,19971007
600111,-,北方稀土,北方稀土,19970924
600112,-,*ST天成,*ST天成,19971127
600113,-,浙江东日,浙江东日,19971021
600114,-,东睦股份,东睦股份,20040511
600115,-,中国东航,中国东航,19971105
600116,-,三峡水利,三峡水利,19970804
600117,-,西宁特钢,西宁特钢,19971015
600118,-,中国卫星,中国卫星,19970908
600119,-,长江投资,长江投资,19980115
600120,-,浙江东方,浙江东方,19971201
600121,-,郑州煤电,郑州煤电,19980107
600122,-,ST宏图,ST宏图,19980420
600123,-,兰花科创,兰花科创,19981217
600125,-,铁龙物流,铁龙物流,19980511
600126,-,杭钢股份,杭钢股份,19980311
600127,-,金健米业,金健米业,19980506
600128,-,弘业股份,弘业股份,19970901
600129,-,太极集团,太极集团,19971118
600130,-,波导股份,波导股份,20000706
600131,-,国网信通,国网信通,19980402
600132,-,重庆啤酒,重庆啤酒,19971030
600133,-,东湖高新,东湖高新,19980212
600135,-,乐凯胶片,乐凯胶片,19980122
600136,-,ST明诚,ST明诚,19980303
600137,-,浪莎股份,浪莎股份,19980416
600138,-,中青旅,中青旅,19971203
600139,-,*ST西源,*ST西源,19980225
600141,-,兴发集团,兴发集团,19990616
600143,-,金发科技,金发科技,20040623
600148,-,长春一东,长春一东,19980520
600149,-,廊坊发展,廊坊发展,19991014
600150,-,中国船舶,中国船舶,19980520
600151,-,航天机电,航天机电,19980605
600152,-,维科技术,维科技术,19980609
600153,-,建发股份,建发股份,19980616
600155,-,华创阳安,华创阳安,19980918
600156,-,华升股份,华升股份,19980527
600157,-,永泰能源,永泰能源,19980513
600158,-,中体产业,中体产业,19980327
600159,-,大龙地产,大龙地产,19980526
600160,-,巨化股份,巨化股份,19980626
600161,-,天坛生物,天坛生物,19980616
600162,-,香江控股,香江控股,19980609
600163,-,中闽能源,中闽能源,19980602
600165,-,新日恒力,新日恒力,19980529
600166,-,福田汽车,福田汽车,19980602
600167,-,联美控股,联美控股,19990128
600168,-,武汉控股,武汉控股,19980427
600169,-,太原重工,太原重工,19980904
600170,-,上海建工,上海建工,19980623
600171,-,上海贝岭,上海贝岭,19980924
600172,-,黄河旋风,黄河旋风,19981126
600173,-,卧龙地产,卧龙地产,19990415
600176,-,中国巨石,中国巨石,19990422
600177,-,雅戈尔,雅戈尔,19981119
600178,-,东安动力,东安动力,19981014
600179,-,安通控股,安通控股,19981104
600180,-,瑞茂通,瑞茂通,19980703
600182,-,S*ST佳通,S*ST佳通,19990507
600183,-,生益科技,生益科技,19981028
600184,-,光电股份,光电股份,20031106
600185,-,格力地产,格力地产,19990611
600186,-,莲花健康,莲花健康,19980825
600187,-,国中水务,国中水务,19981111
600188,-,兖矿能源,兖矿能源,19980701
600189,-,泉阳泉,泉阳泉,19981007
600190,900952,锦州港,锦州港,19990609
600191,-,*ST华资,*ST华资,19981210
600192,-,长城电工,长城电工,19981224
600193,-,创兴资源,创兴资源,19990527
600195,-,中牧股份,中牧股份,19990107
600196,-,复星医药,复星医药,19980807
600197,-,伊力特,伊力特,19990916
600198,-,大唐电信,大唐电信,19981021
600199,-,金种子酒,金种子酒,19980812
600200,-,江苏吴中,江苏吴中,19990401
600201,-,生物股份,生物股份,19990115
600202,-,哈空调,哈空调,19990603
600203,-,福日电子,福日电子,19990514
600206,-,有研新材,有研新材,19990319
600207,-,安彩高科,安彩高科,19990714
600208,-,新湖中宝,新湖中宝,19990623
600210,-,紫江企业,紫江企业,19990824
600211,-,西藏药业,西藏药业,19990721
600212,-,绿能慧充,绿能慧充,19990817
600213,-,亚星客车,亚星客车,19990831
600215,-,派斯林,派斯林,19990909
600216,-,浙江医药,浙江医药,19991021
600217,-,中再资环,中再资环,19991216
600218,-,全柴动力,全柴动力,19981203
600219,-,南山铝业,南山铝业,19991223
600220,-,江苏阳光,江苏阳光,19990927
600221,900945,ST海航,ST海航,19991125
600222,-,太龙药业,太龙药业,19991105
600223,-,鲁商发展,鲁商发展,20000113
600225,-,天津松江,天津松江,20000127
600226,-,ST瀚叶,ST瀚叶,19991116
600227,-,圣济堂,圣济堂,20000221
600228,-,返利科技,返利科技,19990119
600229,-,城市传媒,城市传媒,20000309
600230,-,沧州大化,沧州大化,20000406
600231,-,凌钢股份,凌钢股份,20000511
600232,-,金鹰股份,金鹰股份,20000602
600233,-,圆通速递,圆通速递,20000608
600234,-,科新发展,科新发展,20000615
600235,-,民丰特纸,民丰特纸,20000615
600236,-,桂冠电力,桂冠电力,20000323
600237,-,铜峰电子,铜峰电子,20000609
600238,-,海南椰岛,海南椰岛,20000120
600239,-,ST云城,ST云城,19991202
600241,-,ST时万,ST时万,20001128
600242,-,*ST中昌,*ST中昌,20001207
600243,-,青海华鼎,青海华鼎,20001120
600246,-,万通发展,万通发展,20000922
600248,-,陕西建工,陕西建工,20000622
600249,-,两面针,两面针,20040130
600250,-,南纺股份,南纺股份,20010306
600251,-,冠农股份,冠农股份,20030609
600252,-,中恒集团,中恒集团,20001130
600255,-,鑫科材料,鑫科材料,20001122
600256,-,广汇能源,广汇能源,20000526
600257,-,大湖股份,大湖股份,20000612
600258,-,首旅酒店,首旅酒店,20000601
600259,-,广晟有色,广晟有色,20000525
600260,-,*ST凯乐,*ST凯乐,20000706
600261,-,阳光照明,阳光照明,20000720
600262,-,北方股份,北方股份,20000630
600265,-,ST景谷,ST景谷,20000825
600266,-,城建发展,城建发展,19990203
600267,-,海正药业,海正药业,20000725
600268,-,国电南自,国电南自,19991118
600269,-,赣粤高速,赣粤高速,20000518
600271,-,航天信息,航天信息,20030711
600272,900943,开开实业,开开实业,20010228
600273,-,嘉化能源,嘉化能源,20030627
600276,-,恒瑞医药,恒瑞医药,20001018
600277,-,亿利洁能,亿利洁能,20000725
600278,-,东方创业,东方创业,20000712
600279,-,重庆港,重庆港,20000731
600280,-,中央商场,中央商场,20000926
600281,-,华阳新材,华阳新材,20001109
600282,-,南钢股份,南钢股份,20000919
600283,-,钱江水利,钱江水利,20001018
600284,-,浦东建设,浦东建设,20040316
600285,-,羚锐制药,羚锐制药,20001018
600287,-,江苏舜天,江苏舜天,20000901
600288,-,大恒科技,大恒科技,20001129
600289,-,ST信通,ST信通,20000720
600290,-,ST华仪,ST华仪,20001106
600292,-,远达环保,远达环保,20001101
600293,-,三峡新材,三峡新材,20000919
600295,900936,鄂尔多斯,鄂尔多斯,20010426
600297,-,广汇汽车,广汇汽车,20001116
600298,-,安琪酵母,安琪酵母,20000818
600299,-,安迪苏,安迪苏,20000420
600300,-,维维股份,维维股份,20000630
600301,-,南化股份,南化股份,20000712
600302,-,标准股份,标准股份,20001213
600303,-,ST曙光,ST曙光,20001226
600305,-,恒顺醋业,恒顺醋业,20010206
600306,-,ST商城,ST商城,20001226
600307,-,酒钢宏兴,酒钢宏兴,20001220
600308,-,华泰股份,华泰股份,20000928
600309,-,万华化学,万华化学,20010105
600310,-,桂东电力,桂东电力,20010228
600311,-,*ST荣华,*ST荣华,20010626
600312,-,平高电气,平高电气,20010221
600313,-,农发种业,农发种业,20010119
600315,-,上海家化,上海家化,20010315
600316,-,洪都航空,洪都航空,20001215
600318,-,新力金融,新力金融,20001208
600319,-,亚星化学,亚星化学,20010326
600320,900947,振华重工,振华重工,20001221
600321,-,正源股份,正源股份,20010524
600322,-,天房发展,天房发展,20010910
600323,-,瀚蓝环境,瀚蓝环境,20001225
600325,-,华发股份,华发股份,20040225
600326,-,西藏天路,西藏天路,20010116
600327,-,大东方,大东方,20020625
600328,-,中盐化工,中盐化工,20001222
600329,-,达仁堂,达仁堂,20010606
600330,-,天通股份,天通股份,20010118
600331,-,宏达股份,宏达股份,20011220
600332,-,白云山,白云山,20010206
600333,-,长春燃气,长春燃气,20001211
600335,-,国机汽车,国机汽车,20010305
600336,-,澳柯玛,澳柯玛,20001229
600337,-,美克家居,美克家居,20001127
600338,-,西藏珠峰,西藏珠峰,20001227
600339,-,中油工程,中油工程,20001225
600340,-,华夏幸福,华夏幸福,20031230
600343,-,航天动力,航天动力,20030408
600345,-,长江通信,长江通信,20001222
600346,-,恒力石化,恒力石化,20010820
600348,-,华阳股份,华阳股份,20030821
600350,-,山东高速,山东高速,20020318
600351,-,亚宝药业,亚宝药业,20020926
600352,-,浙江龙盛,浙江龙盛,20030801
600353,-,旭光电子,旭光电子,20021120
600354,-,敦煌种业,敦煌种业,20040115
600355,-,精伦电子,精伦电子,20020613
600356,-,恒丰纸业,恒丰纸业,20010419
600358,-,国旅联合,国旅联合,20000922
